"","V1"
"<U+653C><U+3E32>€<U+393C><U+3E34>",-0.113547769069054
"ability",3.81762492835772
"able",-3.38014817390696
"about",6.61523754063019
"above",-0.40050977960263
"absolute",-0.725711056793316
"absolutely",8.12604525086729
"ac",2.94257446820343
"acceptable",-0.440151552514229
"access",-6.37951397094805
"accessories",15.3365421547483
"accessory",-0.977264611563123
"accidentally",0.136114642360534
"according",0.00305866700175733
"account",10.5874472994697
"across",-0.505620834200134
"activate",-20.4441211705836
"activated",9.54247717761897
"active",0.939097015797967
"acts",1.0493200336884
"actual",1.26090335284713
"actually",0.446438250948748
"adapter",-4.51288051368709
"add",4.9625984013878
"added",7.97704829430994
"adding",-0.0012246661992444
"additional",-0.192419730160143
"adds",-0.034834658530224
"aditional",0.803059353294554
"admit",-0.230211298107346
"ads",-0.131244820408175
"advantage",0.0894755498957133
"advertised",-0.642668988890222
"advice",-0.797377746242041
"affordable",1.99330962541559
"after",-7.39173800299357
"again",11.9807336400522
"against",0.148586563875513
"ago",-6.77083258666346
"ahead",-1.02273209548088
"ahoug",-0.46585777943325
"ahough",0.413207866829336
"airplane",-0.587898606627776
"alarm",-3.59029849555301
"alcatel",-0.00133873111798364
"allow",-0.15386720621168
"allowing",-0.177337991418356
"allows",1.99002292701594
"almost",3.00951024203447
"alone",0.304055798850575
"along",0.609531822099428
"alot",0.43354475067803
"already",8.54856378407667
"alright",-0.758777131847482
"also",2.12899526095743
"always",7.06397013685801
"am",-3.75839418840061
"amazing",17.245683878485
"amazon",-3.2161920676622
"an",0.503713005504752
"ancient",0.0190817402660109
"andriod",0.0760214381993185
"android",-0.612041281261261
"annoying",-0.537883922989689
"another",1.32746740283675
"answer",-11.0627600779057
"antenna",1.51771023348903
"anti",0.0439319430099887
"any",1.56046511967056
"anymore",-2.33745732139599
"anyone",-0.347219958131412
"anything",-5.46258384991158
"anyway",5.19504778355805
"anyways",2.2467339289573
"anywhere",0.266115206555134
"apn",1.41681445408506
"app",-0.215083001311675
"apparently",0.00486352328327433
"appearance",0.175748988302131
"apple",2.04183255237982
"application",-3.42886411639423
"applications",4.22614025177603
"appreciate",1.75895095186102
"appropriate",3.77561334097342
"apps",-1.14217425037708
"are",2.7107815905525
"area",10.2906972384829
"areas",3.94234934302233
"arent",0.623747154260802
"argentina",0.667379984701981
"around",-10.7761622775682
"arrival",0.148063422248436
"arrived",1.60385109158972
"article",-1.95928006262368
"ask",3.47655786400165
"asked",0.109842661400509
"aspects",0.00873822588198991
"assembly",-0.204772170748526
"att",5.32982376500722
"attempted",-0.196501376682055
"attention",-1.84653430684567
"audio",-0.394892847738113
"auto",0.351532230069875
"autofocus",0.105922277846937
"automatically",2.83289167894188
"aux",0.133416302287781
"available",-6.77643929225882
"average",1.09719315866381
"avoid",-0.720316606201478
"aware",-0.343201590307521
"away",2.39953092123287
"awesome",24.8595330262623
"awful",-11.6338196356729
"awhile",-0.0184488182545469
"baby",0.755078191494287
"back",-8.25092854853663
"background",3.66344350253379
"backup",-0.0694618917304808
"bad",-23.7330762364679
"badly",-0.461196066046807
"balance",-1.10175165116832
"band",-4.64845508211881
"bands",-0.950997560362444
"banking",-0.0159446258150103
"bar",-1.69118935385866
"bars",0.0557003835081963
"base",0.3506222897446
"based",-1.14463037942614
"basic",-0.18684311006002
"basically",0.203730217969174
"batteries",1.64825933879624
"battery",-5.99557134543411
"bb",5.40596400749037
"bc",0.28654430315948
"beat",9.30189186187338
"beautiful",15.9336615323114
"beautifully",0.376991081160928
"because",-1.93166156322898
"become",-0.450505496087933
"becomes",0.576805923388365
"been",-3.34105306304763
"before",0.0685939704072667
"began",-0.0899055490731303
"beginning",0.343008915071755
"being",11.0437259745596
"believe",-11.9970415310228
"bes",-0.0542364742238163
"besides",-3.90646483396075
"best",15.7122698036794
"better",8.00808336132393
"between",0.761432634834143
"beware",-3.94910291281498
"beyond",1.23855715302122
"big",1.14789642703465
"bigger",0.906532402034793
"biggest",-0.860660686070259
"bill",0.673128378521106
"birthday",1
"bit",-0.565094512643346
"black",-8.45571107322627
"blackberry",0.566222959642984
"blame",-0.608991776652432
"blames",-0.207137258758962
"blinking",-0.0179179425336638
"bloatware",-2.68817508538793
"block",-0.00367581112056303
"blown",0.176551120489562
"blu",-2.22621137712553
"blue",-0.269783647600426
"bluetooth",-1.59356647138922
"bold",2.12421296924654
"book",0.0188774232211153
"boot",1.2063835396083
"boss",-0.165946337153029
"both",8.66606186926888
"bothers",0.0325148115146359
"bottom",-6.3983678062846
"bought",-3.95823178032051
"box",5.06545830157862
"boyfriend",0.371676336399483
"brags",0.0324740013995608
"brand",15.5389542481709
"brands",0.490213192713071
"break",0.6383376282854
"breaker",0.219854772945518
"breed",-0.0478124809054858
"bright",0.229114564963741
"bring",-4.24657995249397
"broke",-9.15932766761636
"broken",4.68816135195517
"brother",0.253178432335183
"brought",-2.86672844254164
"browsing",0.0938134644823931
"bt",0.432775946219099
"btw",0.147027152561007
"bucks",4.21645402082711
"budget",5.90828093352985
"buds",0.184423189186064
"buen",2.46886024670372
"bueno",16.1890119654097
"buggy",-0.403775621054653
"bui",8.23705763365272
"bulky",-0.236504570306229
"bundle",0.264344378493792
"business",14.2287722706091
"button",-1.10672366721767
"buttons",-2.18034905545692
"buy",0.38922973974995
"buyer",-1.16151890569724
"buying",-6.30801050808436
"by",-0.742583675796415
"cable",-3.022732868468
"call",0.331456341732398
"called",-2.93321176938203
"calling",12.8845784117298
"calls",-0.251889536150689
"came",1.4293752905795
"camera",3.11463456645166
"cameras",1.40797497528795
"can",4.37979645082522
"cannot",-4.65369841899979
"cant",-6.42649852969632
"capability",0.59767877934119
"capacity",6.15148721334606
"car",2.25408932728546
"card",-3.22913022136201
"cards",7.59013643148394
"care",8.84460307817066
"careful",-2.59580770987471
"carefully",0.431895332866302
"carrier",-5.03156079147688
"carriers",2.05943268433905
"case",2.76954796285822
"cases",12.5601902643657
"casing",-0.149752115956112
"catch",-0.135783891202626
"cause",0.316998642465204
"cdma",2.16224665855641
"cell",-4.60391595346862
"cellphone",7.45941650438049
"celluar",-1.65667161819147
"cellular",5.00353283350803
"celular",4.0219706489603
"center",3.41372190703129
"certainly",-0.29483621201988
"ch",0.195901864050755
"chance",1.76449434233282
"change",-0.245142839065297
"changes",0.905126235539967
"charge",4.86879521460947
"charged",1.24189519288701
"charger",-7.69126996447747
"charges",2.68574675354556
"charging",-0.056321582543193
"charm",0.329052659096482
"cheap",-13.9442059801535
"cheaper",6.97820480954466
"check",-5.66002842065337
"checked",-4.88265221256376
"checks",-0.203851271056431
"china",-3.02500992784676
"chinese",-4.74634278144781
"chip",-0.842717324079045
"choice",3.84410413353849
"christmas",5.95287099838007
"clean",3.606084485113
"clear",14.9438446384744
"clearly",0.195210648117382
"clip",-7.74985958305804
"close",-1.05705905998789
"closed",-0.446601949494054
"clue",-1.65578277388818
"coach",-0.249637965039953
"coast",-0.619111716119255
"code",-3.89212678172562
"college",1.12739723080324
"color",10.1532344094364
"colors",12.5990928061882
"com",3.62404736107546
"come",1.08400292430196
"comes",3.03174320123623
"comfortable",6.91686005787835
"coming",0.672823074792993
"comment",0.849050911345361
"comments",-0.400374586601409
"common",2.6215845680432
"communication",0.15475794824607
"compact",0.0985084194357151
"companies",1.13786284199242
"company",-4.3042929270941
"companys",0.181665240722676
"compare",2.52076215118521
"compared",2.51198687380799
"comparison",1.2374851520432
"compatible",5.27975173386244
"complain",3.78479987233729
"complains",0.185114121423151
"complaint",-0.786076890626189
"complaints",10.7827583428506
"complete",-24.3868456649737
"completely",-7.73565268960352
"computer",-1.48770870495722
"con",5.27446802658977
"concerned",0.147411247863459
"condition",-4.64228145474363
"conditions",8.49000746425478
"configuring",0.108679592983037
"connect",0.0282742528328402
"connected",-12.9961783459099
"connecting",-15.0862714263645
"connection",-10.3110088526574
"connectivity",-1.26616499505688
"cons",4.98353948245184
"consider",5.26221718927611
"considering",1.5194829445394
"constantly",-17.1616862041907
"construction",0.187293596699542
"consumed",0.311126425629852
"consumer",6.38868819803334
"contact",4.26618463630143
"contacted",-2.63072299068956
"contacts",-0.758482072967564
"contract",8.74359135402966
"control",0.604767003063676
"cool",14.9989877688878
"cord",-2.8722342325082
"core",-0.366781913235701
"correctly",-5.30771437171378
"cos",-0.0224996342899224
"cosmetic",-1.06512329448762
"cost",15.0036851677175
"costing",0.152750849570443
"could",-5.09157194600919
"couldnt",-11.2009001781273
"counter",0.37612284277348
"countries",1.85378274020146
"country",2.99559559598046
"couple",9.23076114334978
"course",4.88760349164299
"cover",-3.08301407661306
"covers",0.00685224038611779
"cpu",0.000906378824111043
"crack",-1.42522064541455
"cracked",-9.84642850279664
"crackling",0.193530522274687
"cracks",0.0568787298718357
"crash",-0.44320397950174
"crazy",0.225935466644379
"cricket",0.680634238366278
"current",-7.56135807706923
"currently",0.152664701172941
"curve",0.247179311323883
"custom",-0.787702014785264
"customer",-2.02208087053008
"customize",-0.00304059835360963
"cut",10.5814363524143
"cutest",0.749774439730322
"cuts",-0.128267625023881
"dad",0.906705208142872
"daily",-0.119258955572274
"damage",-0.785203962976011
"damaged",0.0701252796772101
"damned",0.326296338709389
"dark",-3.88055840733261
"dash",0.367997958245519
"data",4.46681905495449
"date",3.10686613905755
"daughter",4.49051208093434
"day",-0.140207436457627
"days",0.687388812812885
"de",-1.3886617799776
"dead",-8.76571298448727
"deal",17.8725759436412
"dealing",-0.0591742986965045
"deals",0.365748128767232
"decals",0.185862204393202
"december",0.227537228186719
"decent",1.21731563754794
"decided",-2.18749524600557
"decision",-0.315216645181274
"deep",-0.179850688709744
"defau",0.0158386951811437
"defective",-11.5729437577708
"defects",-0.1794643616226
"definitely",11.7329116209273
"degrees",0.55443186062956
"delayed",0.0308599875478389
"delete",1.22336178675604
"deliver",1.08244371756885
"delivered",21.391329226414
"delivery",2.57017330525266
"dents",-0.126533915518176
"depending",4.79706357314999
"described",11.1583370840191
"description",-11.5426719580678
"design",7.91747463708787
"desired",-0.0227843469316878
"desperate",0.122963693226436
"despite",0.085021495878302
"detail",-1.84700541130445
"details",5.11736796238171e-05
"detect",0.152040463156782
"device",-1.2822720652748
"devices",-1.90400600200791
"diagonal",0.0158401680671589
"dial",-0.00653410080397203
"did",-10.1946738414966
"didnt",-5.69677569030086
"die",-1.31899308856147
"died",-9.48070077005001
"dies",-9.28827345024112
"difference",8.98279559628628
"differences",0.397050415118031
"different",0.600815956281813
"difficu",-4.68632506212427
"digital",0.700545490376079
"dings",0.102600194903777
"directly",-0.12882599018091
"dirty",0.0973623738655749
"disappointed",-18.9013171624515
"disappointing",-3.32837096395999
"disappointment",-1.29198634561912
"disconnects",0.184914292846666
"display",-2.8037704833113
"displays",-0.0381841253957127
"do",-8.85884590767856
"does",-0.640732002613339
"doesnt",-17.3312279577131
"doing",-2.89901864695109
"dollars",0.0135497703010276
"don",0.446335317176725
"done",8.87299537581942
"dont",-7.4279111037854
"dosent",-0.858874977992057
"double",-0.315154965372741
"down",-5.79878431485871
"download",3.86389933268998
"downloaded",3.9194743597752
"downloading",-0.434826409439532
"dozen",0.0890111499072769
"drag",0.000128936313867345
"drain",0.991918254632229
